dataset,type,season,trend,sen_slope,p_value,significant,n,lag1_acf,durbin_watson,method
Precip CR2 monthly,seasonal,DJF,no trend,-0.3387452677516668,0.22482884061570196,False,42,0.07928834907470936,0.5601651409337718,Original
Precip CR2 monthly,seasonal,MAM,no trend,-0.46666510480339635,0.648877888058871,False,42,0.32962723058658894,0.3010364345740972,Hamed-Rao (pre-whitened)
Precip CR2 monthly,seasonal,JJA,no trend,-1.8984688543086263,0.27593433728642713,False,41,-0.04919069137801954,0.1559329991311685,Original
Precip CR2 monthly,seasonal,SON,no trend,-0.44644504038680494,0.6942324524938992,False,41,-0.23603557838863226,0.4602034830769007,Original
Precip CR2 monthly,annual,Annual,decreasing,-1.8234489024646479,0.00719519157275994,True,42,0.07275431051436808,0.10902538701679286,Original
Precip CR2 daily,seasonal,DJF,no trend,-0.01094537520442073,0.233217008256964,False,42,0.08209200709350406,0.55356283305001,Original
Precip CR2 daily,seasonal,MAM,no trend,-0.015217867404105419,0.648877888058871,False,42,0.3296504471520927,0.3010073555408282,Hamed-Rao (pre-whitened)
Precip CR2 daily,seasonal,JJA,no trend,-0.06190659307528121,0.27593433728642713,False,41,-0.0491906913780194,0.15593299913116848,Original
Precip CR2 daily,seasonal,SON,no trend,-0.014717968364400157,0.6942324524938992,False,41,-0.23603557838863212,0.46020348307690073,Original
Precip CR2 daily,annual,Annual,decreasing,-0.05964378110448026,0.00719519157275994,True,42,0.07258232849415282,0.10901370143012964,Original
Precip CHIRPS monthly,seasonal,DJF,no trend,-0.1028888888888891,0.5136072924876847,False,39,-0.04491201190549946,0.24620383322997355,Original
Precip CHIRPS monthly,seasonal,MAM,no trend,0.3849002804214308,0.8276288084144703,False,39,0.1816062080934196,0.2543281441489993,Hamed-Rao (pre-whitened)
Precip CHIRPS monthly,seasonal,JJA,no trend,-0.9485243186779747,,False,39,0.22356891266382586,0.13326486217207162,Hamed-Rao (pre-whitened)
Precip CHIRPS monthly,seasonal,SON,no trend,-0.5261228070175442,0.4981364283916774,False,39,-0.16468057896754634,0.20480101724701114,Original
Precip CHIRPS monthly,annual,Annual,no trend,-0.43872665082608464,0.7347400838806957,False,39,0.26253028294860087,0.07343725762809833,Hamed-Rao (pre-whitened)
Precip CHIRPS daily,seasonal,DJF,no trend,-0.0035138888888888906,0.4981364283916774,False,39,-0.04267766626482823,0.24457420662149684,Original
Precip CHIRPS daily,seasonal,MAM,no trend,0.012551096100698777,0.8276288084144703,False,39,0.18160620809341982,0.25432814414899924,Hamed-Rao (pre-whitened)
Precip CHIRPS daily,seasonal,JJA,no trend,-0.03093014082645567,,False,39,0.22356891266382597,0.13326486217207167,Hamed-Rao (pre-whitened)
Precip CHIRPS daily,seasonal,SON,no trend,-0.017344707923655278,0.4981364283916774,False,39,-0.16468057896754631,0.2048010172470111,Original
Precip CHIRPS daily,annual,Annual,no trend,-0.011974586818803786,0.734373855887827,False,39,0.26285691866161665,0.07335886927084193,Hamed-Rao (pre-whitened)
Tmax monthly,seasonal,DJF,increasing,0.02509201744641934,0.030198435580170102,True,42,-0.03299337050811265,0.0030265961174081434,Original
Tmax monthly,seasonal,MAM,increasing,0.029488841374806767,0.030198435580170102,True,42,0.0994922363773083,0.00798183655088244,Original
Tmax monthly,seasonal,JJA,no trend,-0.011925414743613949,0.36293485816471427,False,41,0.06206165577164557,0.025182145163505913,Original
Tmax monthly,seasonal,SON,no trend,-0.0007511147544804863,0.9731197167307599,False,41,-0.4139925644885329,0.013783965054263481,Original
