glacier_id,dH,slope,aspect,elevation
CL108116004@,10.322266,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.787842,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.3254395,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.00415,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-22.606934,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.8605957,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.6206055,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,0.47216797,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,0.36621094,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-9.8688965,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-20.009033,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-20.147217,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,1.7531738,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,1.3591309,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.9384766,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.5495605,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.1779785,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.442383,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,10.122803,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.558838,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.571045,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-10.463135,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.288574,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-5.04834,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-5.3967285,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.6867676,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.69433594,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.032226562,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.1904297,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.551025,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.365234,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.322998,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.2956543,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.5847168,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.8754883,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.400635,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.484619,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,1.8996582,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-2.6313477,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.553711,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-12.2109375,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-6.5197754,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,2.4992676,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,0.33813477,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.864502,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-2.7521973,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.9020996,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.616699,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-3.3271484,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,2.8781738,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.871338,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.1171875,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.005127,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,2.0666504,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-9.345215,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-13.029053,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.290039,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-10.159668,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-4.5598145,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-6.4680176,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-17.105469,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-9.685791,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.149414,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-17.273438,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-21.741943,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-24.08374,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.882812,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-15.600342,-9999.0,-9999.0,3.3999999521443642e+38
