glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100002,-0.95891464,7.0119596,28,1.0763586716992515,132.25383969715662,146.75
CL108100003,-4.7416806,5.6185446,26,1.0703864739491389,148.10904502868652,143.8846153846154
CL108100004,14.496851,15.321227,100,1.3982368952035904,189.36902558803558,144.53
CL108100005,-8.019936,7.2400546,29,1.1869731196041764,211.52586246358936,144.3448275862069
CL108100006,-2.708747,8.176477,74,0.8876996314203417,179.4956294910328,144.6216216216216
CL108101046,-7.903874,7.501601,15,0.6959717472394308,179.59200337727864,143.86666666666667
CL108101047,0.46390206,3.5939047,14,1.1719629636832647,181.31678227015905,143.71428571428572
CL108101048,-11.071763,11.675111,915,-2577.965698416246,-2458.709799893697,8.769398783672896e+37
CL108101049,-19.68906,9.537636,200,1.464659795165062,176.21773099422455,135.875
CL108101050,-13.37244,10.138041,33,-301.96411139134204,-153.86664471481785,1.0303030158013225e+37
CL108105002,-17.684616,11.150132,32,-4686.1265938114375,-4565.999842643738,1.5937499775676707e+38
CL108105003,-4.700917,9.751741,201,-1093.11365451534,-914.0913395668143,3.721392982446568e+37
CL108116001,2.568126,18.169977,23,-9999.0,-9999.0,3.3999999521443642e+38
CL108116002,-10.867123,6.117444,15,-9999.0,-9999.0,3.3999999521443642e+38
CL108116003,-10.930411,5.8548636,29,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004,-15.978638,10.342742,848,-9468.297158443282,-9457.34355663466,3.2195754263819865e+38
CL108116005,-10.437347,6.5862474,16,-9999.0,-9999.0,3.3999999521443642e+38
CL108116006,-9.087138,8.507663,24,-9999.0,-9999.0,3.3999999521443642e+38
CL108130001,-34.143887,10.76961,22,0.45683487436988135,210.68181696805087,140.72727272727272
CL108130002,-45.971973,16.26322,53,1.0764223494619694,184.53928821491746,142.37735849056602
CL108130003,9.73999,6.3389,32,1.3344313651323318,165.03785502910614,143.5625
CL108130004,3.2615018,4.711337,18,1.0109882255395253,238.41105037265353,142.22222222222223
CL108130005,4.632394,6.70383,21,1.2246213441803342,139.6728626432873,143.9047619047619
CL108130006,4.1748047,6.3879685,12,0.8549116998910904,257.35718663533527,143.25
CL108130007,-3.0851464,9.746404,150,1.337430340051651,189.2659664662679,143.88
CL108130008,3.5901926,13.2189245,70,0.9745198420115879,174.57462774004256,144.2
CL108130009,-17.953701,16.304338,73,1.2790918072609052,200.12183009108452,144.93150684931507
CL108130010,-8.693618,15.117882,151,0.9140383557768057,184.2365909601679,145.79470198675497
