glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003,-17.585815,4.8136754,20,1.333340159058571,224.44784574508668,138.7
CL108100004,-15.911974,23.810614,47,1.853393591464834,179.02022173049602,136.48936170212767
CL108130003,-5.7350698,4.5914474,13,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004,0.68585205,6.2533674,8,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005,-3.3791504,9.950484,11,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006,0.9929199,6.231301,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007,-13.671864,13.806738,66,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008,-9.22245,6.7838006,38,-9999.0,-9999.0,3.3999999521443642e+38
CL108130009,-39.92935,20.614351,69,1.9361861564111018,166.15771937715834,134.66666666666666
CL108130010,-6.5839148,14.535472,77,1.4076440388506108,181.98589270455497,138.7922077922078
