glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100003,-10.672674,3.8252006,22,1.4442122985016217,211.53189979900014,138.72727272727272
CL108100004,-15.227475,12.51222,100,1.759315196275711,171.52927395820618,136.25
CL108130003,-11.03936,5.642155,32,-9999.0,-9999.0,3.3999999521443642e+38
CL108130004,-2.246677,3.2858944,18,-9999.0,-9999.0,3.3999999521443642e+38
CL108130005,-8.142939,4.2836137,21,-9999.0,-9999.0,3.3999999521443642e+38
CL108130006,-3.616333,1.8622997,12,-9999.0,-9999.0,3.3999999521443642e+38
CL108130007,-12.361123,7.7539487,150,-9999.0,-9999.0,3.3999999521443642e+38
CL108130008,-7.6659913,4.267321,70,-9570.447316582713,-9560.185714285713,3.2542856684810345e+38
CL108130009,-20.430424,8.522245,73,1.8643387172320118,166.0472285649548,134.56164383561645
CL108130010,2.3618424,4.476505,151,1.2550474594760415,194.88458431319685,138.6291390728477
