glacier_id,dH_mean,dH_std,dH_count,slope_mean,aspect_mean,elevation_mean
CL108100002,-3.915625,5.840144,20,0.921365487575531,151.26905965805054,147.1
CL108100003,-5.474772,5.150749,24,0.9854073772827784,189.47339026133218,144.25
CL108100004,5.1662235,14.67421,47,1.2264340583314286,193.89803565816678,143.74468085106383
CL108100006,-1.0893555,5.334547,14,0.6996664660317558,166.56213596888952,144.35714285714286
CL108101048,-8.074792,9.049013,350,-3284.47332303507,-3170.3490335192,1.1171428414188625e+38
CL108101049,-8.972996,4.9811416,36,1.418081854780515,162.04031292597452,135.72222222222223
CL108105002,-18.311472,10.901093,28,-4284.417365742581,-4175.87513085774,1.457142836633299e+38
CL108105003,-5.057746,9.689996,144,-970.7403654886616,-805.7506146033605,3.305555509029243e+37
CL108116001,6.3056097,16.750938,9,-9999.0,-9999.0,3.3999999521443642e+38
CL108116002,-9.171456,5.1594563,7,-9999.0,-9999.0,3.3999999521443642e+38
CL108116003,-11.740195,5.744429,25,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004,-13.839725,8.976722,623,-9999.0,-9999.0,3.3999999521443642e+38
CL108116005,-10.941581,6.87367,14,-9999.0,-9999.0,3.3999999521443642e+38
CL108116006,-13.142264,8.303346,14,-9999.0,-9999.0,3.3999999521443642e+38
CL108130003,9.447791,7.871493,13,1.2682689565878649,137.91346036470853,143.15384615384616
CL108130004,2.5055542,4.6897798,8,0.9672924056649208,189.92254447937012,142.125
CL108130005,5.780007,6.9634852,11,1.3379876613616943,118.54499435424805,144.0
CL108130006,4.5052314,6.0419984,7,1.2202472175870622,300.8378252301897,142.57142857142858
CL108130007,-1.154985,8.331544,66,1.213483694827918,192.85609314658424,143.54545454545453
CL108130008,-1.096474,9.516883,38,1.116951385610982,166.89309652228104,144.47368421052633
CL108130009,-18.981756,16.166677,69,1.1355717804120935,212.03357572140902,144.7246376811594
CL108130010,-8.537839,13.759853,77,0.8326300351650684,163.6834973917379,146.0909090909091
