Raster,Variable,Pearson_r,p_value
SRTMminusIGM_2019_glaciers2019,elevation,-0.2192430188831852,1.7731605317917088e-24
SRTMminusIGM_2019_glaciers2019,slope,0.21923645613180037,1.7788955803448422e-24
SRTMminusIGM_2019_glaciers2019,aspect,0.2181577145061076,3.020303333284221e-24
SRTMminusIGM_2000_glaciers2000,elevation,-0.13676362976872786,6.233203481153982e-15
SRTMminusIGM_2000_glaciers2000,slope,0.13676299601544806,6.235005627893408e-15
SRTMminusIGM_2000_glaciers2000,aspect,0.1369654017291338,5.684743560008311e-15
CBminusSRTM_2019_glaciers2019,elevation,,
CBminusSRTM_2019_glaciers2019,slope,,
CBminusSRTM_2019_glaciers2019,aspect,,
CBminusIGM_2019_glaciers2019,elevation,,
CBminusIGM_2019_glaciers2019,slope,,
CBminusIGM_2019_glaciers2019,aspect,,
LTminusSRTM_2000_glaciers2000,elevation,-0.07373265870129059,0.060475672307992674
LTminusSRTM_2000_glaciers2000,slope,0.07370542260040265,0.06057098222513002
LTminusSRTM_2000_glaciers2000,aspect,0.07365083857688914,0.06076236724726785
LTminusSRTM_2019_glaciers2019,elevation,0.022377770179200493,0.6321493587107747
LTminusSRTM_2019_glaciers2019,slope,-0.022392324407601638,0.6319277968755522
LTminusSRTM_2019_glaciers2019,aspect,-0.023039867239014772,0.622103704339881
LTminusIGM_2000_glaciers2000,elevation,0.07676559365660605,0.0506119478067856
LTminusIGM_2000_glaciers2000,slope,-0.07677649136917422,0.05057909041719614
LTminusIGM_2000_glaciers2000,aspect,-0.07709578643920541,0.04962427823038903
LTminusIGM_2019_glaciers2019,elevation,0.1396370989195847,0.002686959358170875
LTminusIGM_2019_glaciers2019,slope,-0.13963723626549188,0.002686933046320302
LTminusIGM_2019_glaciers2019,aspect,-0.1385924987060772,0.002894003432159563
