COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
0_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,287361.7147524999,0.0,143680.85737624994,181,-5.610375841678176,4.413546725265812,-4.9892578125,-0.2439293844207903,-1612207.2222706405,-35047.98309284001,-0.20733997675767174,17.9089,2573172.87,0.3309,0.0146,0.3312,47547.76,IGM_1954,663.7
1_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,8459217.55941218,2045319.614756729,5252268.5870844545,9337,-17.05086115722395,14.04856965363913,-15.547119140625,-0.5969964577036478,-144236944.1042879,-3135585.741397563,-0.5074469890481007,6.4999,34139365.65,0.1201,0.0358,0.1253,630836.1,IGM_1954,663.7
2_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,2279471.3537691287,68337.7466069883,1173904.5501880585,2534,-28.420943912786107,20.18094159991125,-28.6270751953125,-1.19972585590349,-64784727.49627502,-1408363.64122337,-1.0197669775179665,13.7488,16139808.47,0.2541,0.072,0.2641,298235.59,IGM_1954,663.7
3_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,1400801.9701920524,247688.5092390823,824245.2397155673,1550,-1.8230851499495968,9.348273847982279,-0.27197265625,-0.06735493449367648,-2553781.2698772685,-55516.98412776671,-0.057251694319625006,16.4079,13524157.12,0.3032,0.004,0.3032,249902.9,IGM_1954,663.7
4_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,970171.4259494462,138752.79237099385,554462.10916022,1083,-12.376913449330564,10.885414514196611,-11.89990234375,-0.47079422724221054,-12007727.769989911,-261037.560217172,-0.40017509315587896,17.9089,9929832.56,0.3309,0.0282,0.3321,183486.04,IGM_1954,663.7
5_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,1018224.1032191605,22703.88255318053,520463.9928861705,1088,4.648406084846048,9.504837915608162,5.522705078125,0.197696469414344,4733119.117140856,102893.89385088817,0.16804199900219238,17.9089,9320962.1,0.3309,0.0119,0.3311,172235.17,IGM_1954,663.7
6_1975,SRTM_2000_minus_IGM_1954,1954,2000,46,1975,2000,1975,1605494.7728103418,276590.1093213096,941042.4410658258,1788,5.129876804565156,17.155570844361456,1.70703125,0.19026056811141698,8235990.394890377,179043.26945413864,0.16172148289470442,15.356,14450623.6,0.2838,0.0114,0.284,267022.39,IGM_1954,663.7
0_1975,CerroBlanco_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,287361.7147524999,0.0,143680.85737624994,0,,,,,,,,11.1839,1606916.57,0.1358,0.0,0.1358,19512.56,CerroBlanco_2024,505.4
1_1975,CerroBlanco_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,8459217.55941218,2045319.614756729,5252268.5870844545,1746,-28.008662657502864,22.144569114724238,-28.30517578125,-0.6444327465077919,-236931370.9680004,-3384733.8709714343,-0.5477678345316231,3.091,16234837.98,0.0375,0.0387,0.0539,197137.32,CerroBlanco_2024,505.4
2_1975,CerroBlanco_2024_minus_IGM_1954,1954,2024,70,1975,2000,1975,2279471.3537691287,68337.7466069883,1173904.5501880585,0,,,,,,,,6.5382,7675220.98,0.0794,0.0,0.0794,93199.11,CerroBlanco_2024,505.4
