glacier_id,epoch,t_start,t_end,dt_yr,outline_set,area_m2,n_pixels,n_eff,mean_dh_m,mean_dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dh_yr_m,sigma_dV_m3,sigma_mb_mwe_yr,nmad_stable_m
UNION,CerroBlanco_2024_minus_IGM_1954,1954,2024,70,union,3323736.0,921,3.77,-28.0748,-0.4011,-93313101.17,-1333044.3,-0.3409,13.4362,0.1919,44658376.98,0.1632,26.0917
UNION,LasTermas_2024_minus_IGM_1954,1954,2024,70,union,3323736.0,749,5.69,-31.3424,-0.4477,-104173938.61,-1488199.12,-0.3806,8.3854,0.1198,27870710.3,0.1018,16.3021
CL108116004@,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2019,684260.31,709,14.76,4.9757,0.2073,3404647.57,141860.32,0.1762,2.0084,0.0837,1374256.28,0.0711,9.0351
CL108116007@,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2019,102165.79,1,4.3,-49.3708,-2.0571,-5044012.01,-210167.17,-1.7486,3.7222,0.1551,380285.0,0.1318,9.0351
CL108130010@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,75095.3,83,1.79,-7.5653,-0.3152,-568120.02,-23671.67,-0.2679,4.718,0.1966,354299.6,0.1671,5.1795
CL108100004@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,51295.82,60,1.55,-28.7319,-1.1972,-1473828.02,-61409.5,-1.0176,4.3321,0.1805,222216.93,0.1534,5.1795
CL108130009@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,110672.75,121,2.1,-22.565,-0.9402,-2497325.53,-104055.23,-0.7992,3.8956,0.1623,431141.99,0.138,5.1795
CL108130007@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,63701.17,72,1.68,-19.8876,-0.8287,-1266864.75,-52786.03,-0.7044,4.1915,0.1746,267002.96,0.1484,5.1795
CL108100003@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,31395.7,30,1.35,-16.4422,-0.6851,-516214.51,-21508.94,-0.5823,4.3694,0.1821,137181.65,0.1548,5.1795
CL108130008@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,35568.07,40,1.39,-13.5233,-0.5635,-480996.94,-20041.54,-0.4789,4.6517,0.1938,165452.85,0.1647,5.1795
CL108130003@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,27290.36,27,1.3,-14.1713,-0.5905,-386739.48,-16114.14,-0.5019,5.0032,0.2085,136540.25,0.1772,5.1795
CL108130006@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,7250.11,8,1.09,-12.0489,-0.502,-87356.03,-3639.83,-0.4267,4.5157,0.1882,32739.3,0.1599,5.1795
CL108130005@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,10225.82,12,1.12,-13.9273,-0.5803,-142417.76,-5934.07,-0.4933,5.0635,0.211,51778.32,0.1793,5.1795
CL108130004@,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2019,7709.61,9,1.09,-8.4894,-0.3537,-65450.3,-2727.1,-0.3007,4.7658,0.1986,36742.8,0.1688,5.1795
UNION,SRTM_2000_minus_IGM_1954,1954,2000,46,union,3323736.0,3693,5.16,-29.2779,-0.6365,-97312011.67,-2115478.51,-0.541,7.8579,0.1708,26117700.03,0.1452,30.9181
