epoch,t_start,t_end,dt_yr,subcomplex,n_glaciers,total_area_km2,mb_mwe_yr,sigma_mb_mwe_yr,dV_we_km3,dV_we_km3_yr
ASTER_20040326_minus_SRTM_2000,2000,2004,4,Cerro Blanco,11,1.994,0.559,0.823,0.0045,0.00111
ASTER_20040326_minus_SRTM_2000,2000,2004,4,Las Termas,11,0.467,-4.683,1.596,-0.0087,-0.00219
ASTER_20040326_minus_SRTM_2000,2000,2004,4,Puerto los Baños,2,0.068,0.359,1.596,0.0001,2e-05
ASTER_20040326_minus_SRTM_2000,2000,2004,4,Whole complex,24,2.53,-0.415,0.987,-0.0042,-0.00105
ASTER_20040326_minus_SRTM_2000,2000,2004,4,Glaciar Nevado,1,0.724,1.065,0.658,0.0031,0.00077
ASTER_20070224_minus_SRTM_2000,2000,2007,7,Cerro Blanco,6,1.895,-7.595,0.048,-0.1008,-0.0144
ASTER_20070224_minus_SRTM_2000,2000,2007,7,Las Termas,15,0.652,0.854,0.143,0.0039,0.00056
ASTER_20070224_minus_SRTM_2000,2000,2007,7,Puerto los Baños,2,0.068,0.63,0.17,0.0003,4e-05
ASTER_20070224_minus_SRTM_2000,2000,2007,7,Whole complex,23,2.616,-5.273,0.075,-0.0966,-0.0138
ASTER_20070224_minus_SRTM_2000,2000,2007,7,Glaciar Nevado,1,0.724,-20.035,0.038,-0.1015,-0.0145
ASTER_20080330_minus_SRTM_2000,2000,2008,8,Cerro Blanco,11,1.994,0.175,0.193,0.0028,0.00035
ASTER_20080330_minus_SRTM_2000,2000,2008,8,Las Termas,15,0.652,-0.471,0.482,-0.0025,-0.00031
ASTER_20080330_minus_SRTM_2000,2000,2008,8,Puerto los Baños,2,0.068,-0.004,0.574,-0.0,-0.0
ASTER_20080330_minus_SRTM_2000,2000,2008,8,Whole complex,28,2.715,0.015,0.272,0.0003,4e-05
ASTER_20080330_minus_SRTM_2000,2000,2008,8,Glaciar Nevado,1,0.724,0.638,0.128,0.0037,0.00046
ASTER_20180301_minus_SRTM_2000,2000,2018,18,Cerro Blanco,11,1.994,-0.549,0.008,-0.0197,-0.0011
ASTER_20180301_minus_SRTM_2000,2000,2018,18,Las Termas,15,0.652,-0.387,0.021,-0.0045,-0.00025
ASTER_20180301_minus_SRTM_2000,2000,2018,18,Puerto los Baños,2,0.068,-0.361,0.025,-0.0004,-2e-05
ASTER_20180301_minus_SRTM_2000,2000,2018,18,Whole complex,28,2.715,-0.506,0.012,-0.0247,-0.00137
ASTER_20180301_minus_SRTM_2000,2000,2018,18,Glaciar Nevado,1,0.724,-0.484,0.006,-0.0063,-0.00035
CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,Cerro Blanco,1,0.724,-0.585,0.295,-0.0102,-0.00042
CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,Whole complex,1,0.724,-0.585,0.295,-0.0102,-0.00042
CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,Glaciar Nevado,1,0.724,-0.585,0.295,-0.0102,-0.00042
LasTermas_2024_minus_SRTM_2000,2000,2024,24,Las Termas,10,0.507,-0.47,0.162,-0.0057,-0.00024
LasTermas_2024_minus_SRTM_2000,2000,2024,24,Whole complex,10,0.507,-0.47,0.162,-0.0057,-0.00024
Pleiades_2025_minus_SRTM_2000,2000,2025,25,Cerro Blanco,11,1.994,-0.59,0.128,-0.0294,-0.00118
Pleiades_2025_minus_SRTM_2000,2000,2025,25,Las Termas,15,0.652,-0.268,0.296,-0.0044,-0.00017
Pleiades_2025_minus_SRTM_2000,2000,2025,25,Puerto los Baños,2,0.068,-0.33,0.344,-0.0006,-2e-05
Pleiades_2025_minus_SRTM_2000,2000,2025,25,Whole complex,28,2.715,-0.506,0.174,-0.0344,-0.00137
Pleiades_2025_minus_SRTM_2000,2000,2025,25,Glaciar Nevado,1,0.724,-0.687,0.095,-0.0124,-0.0005
