epoch,topo_var,n_pixels,n,pearson_r,pearson_r2,pearson_p,spearman_r,spearman_r2,spearman_p
SRTM−IGM 1954–2000,elevation,17805,17805,0.2914698850177011,0.0849546938722319,0.0,0.2564714149861509,0.06577758670499842,2.1403829822749329e-265
SRTM−IGM 1954–2000,slope,17805,17805,0.2281010078550551,0.05203006978449191,7.159908088549382e-209,0.17656800427320715,0.031176260133023298,1.2214052519862837e-124
SRTM−IGM 1954–2000,aspect,17805,17805,-0.11767647878177588,0.013847753658477749,6.25909871319551e-56,-0.10331357064848265,0.010673693880139015,1.8852342197880653e-43
Pléiades−IGM 1954–2025,elevation,17800,17800,0.1744486468647976,0.03043233039295886,1.2389254825691498e-121,0.1314469577419325,0.017278302699609387,1.977150268836784e-69
Pléiades−IGM 1954–2025,slope,17800,17800,0.17139885330761376,0.0293775669151649,2.008057201612552e-117,0.13798094959720458,0.01903874245174631,2.2158656907015044e-76
Pléiades−IGM 1954–2025,aspect,17800,17800,-0.09422790467656812,0.008878898019736408,2.1458185767045517e-36,-0.05385428607602391,0.0029002841287582228,6.490013737283338e-13
Pléiades−SRTM 2000–2025,elevation,3230,3230,-0.01654052881727823,0.00027358909355521156,0.3473459305496143,-0.0010699055099553762,1.1446978002328736e-06,0.95153241440411
Pléiades−SRTM 2000–2025,slope,3230,3230,0.03336755185188832,0.0011133935165884557,0.057936907726138576,0.01798266763945649,0.0003233763354311556,0.3069240604601588
Pléiades−SRTM 2000–2025,aspect,3230,3230,-0.020827029972441777,0.0004337651774729881,0.236676552289012,-0.04576328603662408,0.0020942783488698724,0.009289151018729057
ASTER 2008−SRTM 2000–2008,elevation,3139,3139,-0.25438173997225333,0.06471006963131111,1.4975856956477203e-47,-0.2773978339578987,0.07694955828453393,1.4621603280006855e-56
ASTER 2008−SRTM 2000–2008,slope,3139,3139,-0.01106171680412911,0.00012236157865475232,0.5355709012866643,0.0014689192887911374,2.157723876982661e-06,0.9344351252242102
ASTER 2008−SRTM 2000–2008,aspect,3139,3139,0.1164346643184597,0.013557031054952392,6.024591481801798e-11,0.16176359004130675,0.026167459063051957,7.539802030346031e-20
ASTER 2018−SRTM 2000–2018,elevation,3052,3052,0.03856265772282696,0.0014870785706479056,0.033146014155090574,0.04137980262203981,0.0017122880650389726,0.022250391798697998
ASTER 2018−SRTM 2000–2018,slope,3052,3052,0.04076927270959069,0.001662133597268976,0.024302782106262025,0.02010661997401528,0.00040427616677947024,0.26680705095578566
ASTER 2018−SRTM 2000–2018,aspect,3052,3052,0.042722089112094484,0.001825176898101742,0.018260718213696667,0.005131811958417472,2.633549397655657e-05,0.7768761954406768
CB UAV−IGM 1954–2024,elevation,1766,1766,0.031949982398735505,0.0010208013752795086,0.17957923110803742,0.1280261987983319,0.016390707578750004,6.717502996640342e-08
CB UAV−IGM 1954–2024,slope,1766,1766,0.17448373070799594,0.030444572281780446,1.5361638743655692e-13,0.2269509164517341,0.05150671847828199,4.597241999237411e-22
CB UAV−IGM 1954–2024,aspect,1766,1766,0.1819551961661039,0.03310769341184535,1.3039050085117974e-14,0.10542599218571355,0.011114639828342135,9.010895830494104e-06
CB UAV−SRTM 2000–2024,elevation,806,806,-0.05903516988784986,0.003485151283687295,0.09395846805970533,0.2164163507835199,0.04683603688645553,5.356971777007e-10
CB UAV−SRTM 2000–2024,slope,806,806,0.31236465127222585,0.09757167536441927,1.0606677403064645e-19,0.43159428138275024,0.1862736237222926,6.669490512023741e-38
CB UAV−SRTM 2000–2024,aspect,806,806,-0.13300613453710763,0.017690631824503176,0.00015245251558708222,-0.2517992982369615,0.06340288659262629,4.0246585405342575e-13
LT UAV−IGM 1954–2024,elevation,3431,3431,0.5005480694769553,0.2505483698571069,4.813023294781821e-217,0.38601587970753454,0.14900825938638176,2.5351496212626603e-122
LT UAV−IGM 1954–2024,slope,3431,3431,0.08651234999759241,0.007484386702105928,3.8727425396912906e-07,0.05682654726545225,0.0032292564741126786,0.0008682157315564385
LT UAV−IGM 1954–2024,aspect,3431,3431,-0.22358057099837084,0.04998827172795754,3.9703709516471684e-40,-0.08225202953217509,0.006765396362161802,1.4048770490200723e-06
LT UAV−SRTM 2000–2024,elevation,652,652,-0.21661272269510054,0.04692107163338453,2.3115425606746242e-08,-0.18600916249264213,0.03459940853121414,1.7330510062522067e-06
LT UAV−SRTM 2000–2024,slope,652,652,0.14754052784479083,0.021768207356719495,0.00015631018051472066,0.17765395165710707,0.031560926539385734,5.020833198782199e-06
LT UAV−SRTM 2000–2024,aspect,652,652,0.08071535635394626,0.006514968751344534,0.03935866655538668,0.014764303618618184,0.000217984661342742,0.7066989907665209
