epoch,t_start,t_end,subcomplex,topo_var,n_glaciers,n,pearson_r,pearson_r2,pearson_p,spearman_r,spearman_r2,spearman_p
SRTM−IGM 1954–2000,1954,2000,whole,elev_mean_m,7,7,0.5025024561955017,0.2525087184825121,0.2504175551035648,0.39285714285714296,0.15433673469387763,0.38331687042697266
SRTM−IGM 1954–2000,1954,2000,whole,slope_mean,7,7,0.7013914037295679,0.4919499012257337,0.07905884029520027,0.6785714285714287,0.4604591836734696,0.0937502539598313
SRTM−IGM 1954–2000,1954,2000,whole,aspect_mean,7,7,-0.4985983813072459,0.24860034584220575,0.25471766573046184,-0.4642857142857144,0.21556122448979603,0.2939341076002517
Pléiades−IGM 1954–2025,1954,2025,whole,elev_mean_m,7,7,0.5242981429473237,0.2748885426980123,0.22703535312168172,0.42857142857142866,0.18367346938775517,0.337368311085824
Pléiades−IGM 1954–2025,1954,2025,whole,slope_mean,7,7,0.6623370838154352,0.43869041259713487,0.10500677778985221,0.642857142857143,0.41326530612244916,0.11939237342741094
Pléiades−IGM 1954–2025,1954,2025,whole,aspect_mean,7,7,-0.49433503107218535,0.24436712294513846,0.25945181406363493,-0.42857142857142866,0.18367346938775517,0.337368311085824
Pléiades−SRTM 2000–2025,2000,2025,whole,elev_mean_m,28,28,-0.28852009538588097,0.08324384544147785,0.1364944445256222,-0.36179529282977557,0.13089583391378307,0.058515785482737843
Pléiades−SRTM 2000–2025,2000,2025,whole,slope_mean,28,28,-0.004634973545222404,2.148297976491154e-05,0.9813249490345399,0.06130268199233716,0.003758018819453619,0.7566480243473327
Pléiades−SRTM 2000–2025,2000,2025,whole,aspect_mean,28,28,-0.28767539974095696,0.08275713561611937,0.13769776885836577,-0.12370005473453749,0.015301703541327571,0.5305724838850181
ASTER 2008−SRTM 2000–2008,2000,2008,whole,elev_mean_m,28,28,0.061753260549390704,0.0038134651884809342,0.7549131996480191,-0.01477832512315271,0.00021839889344560658,0.9405026282514246
ASTER 2008−SRTM 2000–2008,2000,2008,whole,slope_mean,28,28,0.08916893893061685,0.007951099670012077,0.6518264783638135,0.04159824849480022,0.0017304142778351488,0.8335332025809923
ASTER 2008−SRTM 2000–2008,2000,2008,whole,aspect_mean,28,28,0.04049947043037086,0.0016402071051404836,0.8378720306634264,0.03065134099616858,0.0009395047048634047,0.8769529401457652
ASTER 2018−SRTM 2000–2018,2000,2018,whole,elev_mean_m,28,28,-0.05520087354283333,0.003047136439891877,0.7802517851374285,-0.11220580186097427,0.012590141971264217,0.5697174427785479
ASTER 2018−SRTM 2000–2018,2000,2018,whole,slope_mean,28,28,0.1379469837933763,0.019029370337690026,0.4839117706357071,0.21620142309797483,0.04674305534958952,0.2691576011152218
ASTER 2018−SRTM 2000–2018,2000,2018,whole,aspect_mean,28,28,-0.2105190798037742,0.044318282961427855,0.282248451490861,-0.17952928297755882,0.03223076344643639,0.36065066771933674
LT UAV−IGM 1954–2024,1954,2024,las_termas,elev_mean_m,5,5,0.8284764219253785,0.6863731816862778,0.08304581922967422,0.7,0.48999999999999994,0.18812040437418728
LT UAV−IGM 1954–2024,1954,2024,las_termas,slope_mean,5,5,0.3956537342401809,0.1565418774181997,0.5097086471352144,0.49999999999999994,0.24999999999999994,0.39100221895577053
LT UAV−IGM 1954–2024,1954,2024,las_termas,aspect_mean,5,5,-0.7202818703543771,0.5188059727611997,0.1699402647126613,-0.6,0.36,0.28475697986529375
LT UAV−SRTM 2000–2024,2000,2024,las_termas,elev_mean_m,10,10,-0.548528432368594,0.30088344111674725,0.10061800123831169,-0.5151515151515151,0.26538108356290174,0.12755286970323426
LT UAV−SRTM 2000–2024,2000,2024,las_termas,slope_mean,10,10,-0.1434870142213751,0.0205885232501651,0.6925049997001195,-0.006060606060606061,3.6730945821854914e-05,0.9867429111949892
LT UAV−SRTM 2000–2024,2000,2024,las_termas,aspect_mean,10,10,0.11712473368656706,0.013718203241149257,0.7472755556754667,0.06666666666666665,0.004444444444444443,0.8548130882487426
